,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,Deep learning software knows that a rose is a rose is a rosa rubiginosa,How enterprise architects can help ensure success with digital transformations,NTT to buy Dell's services division for $3.05 billion,"Need Some AI? Yeah, There's a Marketplace for That",Apache Spark 2.0 Preview: Machine Learning Model Persistence
-9128652074338368262,Clarifying the uses of artificial intelligence in the enterprise,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,The Competitive Landscape for Machine Intelligence,Gmail API: New endpoints for settings,Finding The Meaning Of Artificial Intelligence At Google I/O
-9102431381393428051,"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",[Retro] Celebration Grids - Management 3.0,"National Coming Out Day - Wikipedia, the free encyclopedia",Qual é o valor da área de T&D na sua empresa?,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",How to augment your career with leadership coaching
-9090514312860140897,OpenBazaar is Open for Business,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Shopping app Spring's redesign could be a game-changer,The Rise And Growth of Ethereum Gets Mainstream Coverage,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",How Blockchain Technology Can Improve the Insurance Industry
-9086955082453789880,We are on the verge of a consumer M&A avalanche,Grow fast or die slow: Focusing on customer success to drive growth,The Competitive Landscape for Machine Intelligence,Why Steve Jobs Was Proud to Steal Ideas,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com","Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up"
-9083294960368598209,Drupal How-To: Responsive or Adaptive Images? | Acquia,How to Start a Telegram Bot With PHP,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Introducing Style Detection for Google Cloud Vision API,Building a Facebook Chat Bot with Node and Heroku,[FILME] - The Hammer
-9081753261356157170,Uso de API's no mercado de serviços financeiros,How Green Was My Valley (1941),To Use Physical Or To Use Virtual: That is the container deployment question,TEDxSãoPaulo,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,How We Lost 47% of Our Users After a Redesign | Icons8
-9076501258717815738,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,The Progress of Web Apps - On the Edge,Creating a scalable API with microservices,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Google releases keyboard for the iPhone with built-in search features
-9073210245497295284,Number plate recognition with Tensorflow,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Why your wallet is becoming the next platform,Google and Ray Kurzweil are making chatbots together,Google Cloud Platform: The smart person's guide - TechRepublic,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
-9071883412530082330,Singapore bank wants you to talk to its chatbot to get your banking done,"The new, scary face of auto insurance",Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis""",Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi
-9064100704535292718,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Accidental discovery could help batteries last years longer,What the JIT!? Anatomy of the OpenJDK HotSpot VM,Mycroft: The open source answer to natural language platforms,Refactoring to Patterns em Java 8
-9056114023474725450,Acquia Engage 2016: Day One,The investment case for employing a Drupal core contributor - Dries Buytaert,A plan for media management in Drupal 8,Acquia Engage Awards Finalists Announced,Release Day: Extend Drupal 8 with Plugins,The door for new contributors to Drupal is still locked
-9055044275358686874,Accept questions from your audience when presenting in Google Slides,Staying one step ahead at Pixar: An interview with Ed Catmull,7 lessons about finding the work you were meant to do,Flipping the office telepresence model,Big IT Rising,How Green Was My Valley (1941)
-9050450867630628092,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016",Learning How to Learn: The Most Important Developer Skill - Free Code Camp,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7"
-9039021554659316935,Concurso Literário Leia Mulheres + Sweek | Sweek,As expectativas das mulheres da Geração Y são muitas,Feito por Elas #01 Agnieszka Holland | AntiCast,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Criadas para casar
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,"Hello, TensorFlow!",Graph-powered Machine Learning at Google,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Making Sense of Unstructured Data with Google Cloud NL API
-9028990334396397584,Xamarin for Everyone,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",2.3.0 Release Notes,CoreOS's rkt Container Engine Hits 1.0,Netflix emociona com vídeo destacando personagens LGBT,LukeW | Obvious Always Wins
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Can Accenture Take Over Advertising?,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.","Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",Blockchain startup R3 cuts fund-raising target to $150 million: source,Governo define cronograma para plano nacional de Internet das Coisas
-9019233957195913605,Berners-Lee quer criar outra Web,It's The Future,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,How Green Was My Valley (1941),"Autofill: What web devs should know, but don't",Beyond Progressive Web Apps Part 1
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Sam Newman - Backends For Frontends,So long MVP. Hello Minimum Loveable Product.,Dicas para aumentar produtividade: 14 dicas incríveis.,What Color is Your Function?
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,How to Start a Telegram Bot With PHP,Most Interesting APIs in 2016: Cognitive Computing,O futuro das interfaces: Chatbots - Tableless,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog
-8984665034930053829,An Introduction to Elasticsearch Aggregations,Clarifying the uses of artificial intelligence in the enterprise,Build Zappos like faceted navigation with ElasticSearch,Worldwide Ops in Minutes with DataStax & Cloud,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor
-8968101771604200516,Olhando para o futuro: 5 pontos de atenção,E os vencedores do Latam Founders Awards 2016 são... - Startupi,"Se eu fosse falar de todas as ideias péssimas que tive, precisaríamos de muito tempo, diz cofundador do Google","Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow","O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Here's how Evernote moved 3 petabytes of data to Google's cloud,Get ready for Google I/O 2016,Mark A Trello Card As Done (And Drop The Mic On That Task),Google Cloud Platform sets a course for new horizons,Apache Spark 2.0 Preview: Machine Learning Model Persistence
-8962700386317589038,Bash on Ubuntu on Windows - Download Now!,Android Studio 2.0 | Android Developers Blog,Google now uses machine learning to make reading comics on phones easier,Tasting Dagger 2 on Android,Microsoft to acquire LinkedIn,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery
-8954346068661072425,The technology behind preview photos,Exploring Java's Hidden Costs,Manage Client-Side Packages with Bower - ASP.NET documentation,Cubr,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Incendies (2010)
-8950763842769120954,Mobify report reveals impact of mobile website speed,bliki: StranglerApplication,"Don't Start Big, Start a Little Snowball",Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Things you probably didn't know you could do with Chrome's Developer Console,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Amazon has a huge opportunity in grocery delivery,"No, Apple isn't the next BlackBerry - it's the next Microsoft","Estonia wants to become a 'country as a service' and already has 10,000 virtual residents",Mobile Time
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,"STEMTera, uma protoboard com Arduino Uno embutido",OpenVpn rodando com Docker no Raspberry Pi,Curso mbed na KL25Z - Primeiros passos - Embarcados,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,6 New Tech Gadgets That Will Simplify Your Life in 2017
-8947720860550700506,Walmart compra startup para brigar com Amazon | EXAME.com,Carrefour começa a operar e-commerce no Brasil | EXAME.com,The return of the machinery question,Automation and anxiety,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",America's allies are preparing for a bumpy ride
-8939172344092554931,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Bridging the Communication Gap Between Developers and Architects - DaedTech,Introduction to Natural Language Processing - University of Michigan | Coursera,One year as a Data Scientist at Stack Overflow,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine
-8937070974333045193,Adopting Open Source Development Processes in Corporate IT,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all","Webinário gratuito ""Como analisar um AWR Report""",Trends in Version Control Land: Innersourcing,Como a Netshoes se preparou para a Black Friday deste ano
-8934199835393138432,[PayPal] Postos Shell adotam pagamento no smartphone,"[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se",[Report] Gráficos inúteis ou bregas do Excel (parte 2),[Books] Biblioteca FIXE: Sugestões de Leitura,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[PDUs] Webinars Gravados realizados pelo PMI São Paulo e pela FIXE
-8933526098329881084,RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,"Fresco, sim! - Android Dev BR",Using DiffUtil in Android RecyclerView,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Android Mobile Vision restores operation and adds Text API | Android Developers Blog
-8913397556833789413,Falling for Web Components,React v15.0.1 | React,The Progress of Web Apps - On the Edge,15 Interesting JavaScript and CSS Libraries for October 2016,How I sped up the initial render of my Polymer app by 86%,GitHub on BigQuery: Analyze all the open source code
-8909927294729358771,"Android N Developer Preview 2, out today! | Android Developers Blog",Getting Started with Activity & Fragment Transitions (part 1),Java Collections Cheat Sheet,Addressing Accessibility for the Web,Object calisthenics: Change the way you code,Google now uses machine learning to make reading comics on phones easier
-8908991577172785311,"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Can virtual reality revolutionise education?,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb,"Deep Learning for Chatbots, Part 1 - Introduction"
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,Inside the offices of New York's biggest startups,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up","Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit","""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living",Globant acquires WAE to continue advancing in the creation of digital journeys
-8885776096632729273,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline",New ways to keep data flowing between your apps and ours,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,Google Now on Tap estreia no Brasil | Google Discovery,Dial in with ease using the latest Google Calendar app for Android
-8876785823151614444,Physicists have discovered what makes neural networks so extraordinarily powerful,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Meet the man behind the rise of bots and our AI-driven future,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Why AI consolidation will create the worst monopoly in US history,Text summarization with TensorFlow
-8864073373672512525,Vídeo: IntraEmpreendedorismo como Atitude pelos Funcionários e Chefes!,Kubernetes,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,10 Simple Habits of Insanely Productive People
-8863047175241170722,Big data's 'streetlight effect': where and how we look affects what we see,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,The Progress of Web Apps - On the Edge,One year as a Data Scientist at Stack Overflow,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave"
-8854146354650101086,"Within a Decade, Retail Banks will be Dead",The future is the trust economy,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,71 erros de português que precisam sumir dos seus e-mails,Banking Needs a Customer Experience Wake-Up Call,Five questions boards should ask about IT in a digital world
-8819557474068526071,Good Software Takes Ten Years. Get Used To it.,How Green Was My Valley (1941),The 24 best restaurants in New York City,"Por dentro da M__A (ou, se você quiser, Mesa & Cadeira)",Apple is working on an AI system that wipes the floor with Google and everyone else,How We Lost 47% of Our Users After a Redesign | Icons8
-8815620240581422908,"Agility in the Cloud: Which ""As a Service"" Works for You?",This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,How to use Docker to run ASP.NET Core apps on Google App Engine,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Perfect Menu for Mobile Apps - UX Planet,Writing good code: how to reduce the cognitive load of your code
-8813724423497152538,Itaú é pioneiro do blockchain,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Blockchain startup R3 cuts fund-raising target to $150 million: source,"Simple rolls out shared bank accounts that work for anyone, including roommates",The Drive to Bank on Digital,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk
-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,"Google I/O: Expect A.I., virtual reality",What SWAG will Google I/O 2016 attendees take home?,Chrome extension brings Medium's best feature to the whole Web,Revolutionize business communication with Kast
-8797444257711529901,"E quando o cliente diz ""Não gostei""?",Artificial Intelligence Can Now Design Realistic Video and Game Imagery,New blog from Dries: How should you decouple Drupal?,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,O tênue equilíbrio da equipe que desenha produtos digitais,Usability Heuristics for Bots - Chatbots Magazine
-8796191278504623694,Object calisthenics: Change the way you code,How to Design a Walkthrough That Users Will Read,Apple &amp; others may soon be barred from using SMS for two-factor authentication,How to finish 3D printed PLA objects,When will AI and NLP actually turn Siri into your best friend?,Optimizing the Performance of Vector Drawables - upday devs
-8773118241761372618,Visual C++ for Linux Development,"Desenvolvendo Android, por onde começar? - Android Dev BR","Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Windows Subsystem for Linux Overview,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Xamarin gratuito no Visual Studio (Channel 9)
-8771338872124599367,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",The Competitive Landscape for Machine Intelligence,Google connects BigQuery to Google Drive and Sheets,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Event Map For Google I/O 2016 Released
-8757701761088346244,Promises | Web Fundamentals - Google Developers,Clickpag agora é Rede Pay,The five phases of migrating to Google Cloud Platform,"PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Squads não-suicidas - Hipsters #08,TensorFlow v0.9 now available with improved mobile support
-8742648016180281673,Aposta na inovação,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Google's artificial intelligence is going in the wrong direction,Android - The dark side of Jack and Jill,Threaded messaging is coming to Slack,The AI business landscape
-8734181034726403477,Windows Subsystem for Linux Overview,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,Visual C++ for Linux Development,This Super Accurate Portrait Selection Tech Uses Neural Networks,A Beginner's Guide To Understanding Convolutional Neural Networks,Solidity Available in Visual Studio - Ethereum Blog
-8728075196312712282,Soylent's new drink will replace your breakfast and morning coffee,Google may unveil Android VR headset at I/O conference,Revolutionize business communication with Kast,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,Migrating from Parse to Bluemix,App distribution for Linux just got way better
-8723568727518869245,The Most Important Push Notification metric - Growth Bug - App World,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,Programação Reativa Funcional com RxJava,StrictMode for Runtime Analysis on Android - Google Developers,Creating Compound Views on Android,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones
-8723313435347324769,"Shuddle, the Uber-like service for getting your kids around, is shutting down tomorrow",Cia. Hering sincroniza diferentes marcas em um único portal de compras,"Amazon open-sources its own deep learning software, DSSTNE",Google Calendar for Android can now find meeting times that work for everyone,Facebook libera botão que integra rede social a sites de e-commerce,Practical Frameworks for Beating Burnout
-8717945432162716060,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,How Coca-Cola Is Harvesting Innovation Energy From Startups,These Are The 10 Most Purchased Brands in the World,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",O manual do deboísta corporativo,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing
-8706427875719844202,Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Transfer Style But Not Color,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Introducing the Startup Battlefield companies of Disrupt NY 2016,The return of the machinery question
-8700857105739861338,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit","Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up","IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Bitcoin In The Time Of Negative Interest Rates,What Google AMP Means for Every Marketer,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service
-8689798332822398451,Novidades do Android Studio 2.2,[PayPal] Postos Shell adotam pagamento no smartphone,[Videos] Bill Gross: The single biggest reason why startups succeed,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,[Tools] How to Record your Desktop Screen with YouTube,Presenting to the Boss(es) | Pluralsight
-8680242653057858999,"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade",Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis""",Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Singapore bank wants you to talk to its chatbot to get your banking done
-8677396111092711799,Dasa multiplica lucro em 6 vezes no terceiro trimestre,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,Amazon has a huge opportunity in grocery delivery,A saga do jovem CEO da Dasa,"Automatic lays off 28% of its workforce, aims for profitability in 2017"
-8669770849634489893,Here's How L'Oréal Plans To Continue Its Digital Innovation,Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Amazon has a huge opportunity in grocery delivery,Conselho da SABMiller aceita proposta de compra da AB InBev,Dasa multiplica lucro em 6 vezes no terceiro trimestre
-8658069499367979499,Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Portal Mercado & Consumo,Walmart compra startup para brigar com Amazon | EXAME.com,Marketplace,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Carrefour começa a operar e-commerce no Brasil | EXAME.com
-8657415528200615063,WebAssembly Browser Preview,How I sped up the initial render of my Polymer app by 86%,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Progressive Web App - first introduced on Google I/O | airberlin,Chrome extension brings Medium's best feature to the whole Web
-8632408281960398473,Adobe CQ/Adobe AEM,AEM 6.1 Package Manager Metadata Files,Workspace Filter,Configuring OSGi,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New ways to keep data flowing between your apps and ours
-8627051188605351707,When to make a Git Commit,Don't document your code. Code your documentation.,Mastering Bash and Terminal,"What do you mean by ""Event-Driven""?",Seniority,Soylent's new drink will replace your breakfast and morning coffee
-8618420761918493321,What the Google I/O schedule tells us about the future of Android,"Google I/O: Expect A.I., virtual reality",Why Steve Jobs Was Proud to Steal Ideas,Top 10 GCP sessions from Google I/O 2016,Google Cloud Datastore gets faster cross-platform API,Google's official Project Wing logo revealed
-8615957592921855596,Shutter Island (2010),Skully officially admits it's over,Accept questions from your audience when presenting in Google Slides,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Inception (2010),Google HR chief Laszlo Bock leaving to launch startup
-8615008595949058842,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Making Sense of Unstructured Data with Google Cloud NL API,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Google's artificial intelligence is going in the wrong direction,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,"Need Some AI? Yeah, There's a Marketplace for That"
-8606063418076691067,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Standing on the Shoulders of Giants - Built to Adapt,Kotlin no Backend (Parte 2) :: Concrete Solutions,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,On Orchestrated Microservices - Built to Adapt
-8591127493017117985,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,How Mobile Health Apps and Wearables Could Actually Make People Sicker,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Curso mbed na KL25Z - Primeiros passos - Embarcados,"Parece árvore, mas é uma turbina eólica"
-8587352636561360574,Sons de animais na busca do Google | Google Discovery,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities","Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",New Sessions Added To Google I/O 2016 Schedule,The AI business landscape,Google Calendar for Android can now find meeting times that work for everyone
-8582642829303844420,Apple Has Created 'Detailed Mockups' of iMessage for Android,How Apple Keyboards Lost a Logo and Windows PCs Gained One,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY",How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,How Green Was My Valley (1941)
-8529522981244750831,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Motion with Meaning: Semantic Animation in Interface Design,A identidade visual de Budapeste para as Olimpíadas de 2024,Prototyping across borders - From Tulsa to Brazil - +Acumen,Críticas de design: dizendo as coisas que precisam ser ditas
-8526359231369823784,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Dasa multiplica lucro em 6 vezes no terceiro trimestre,Here's How L'Oréal Plans To Continue Its Digital Innovation,Where accountability really matters,Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Revista MundoLogística - Sistema desenvolvido por estudante do CTC/PUC-RIO gera economia de US$ 10 milhões, no transporte marítimo"
-8518096793350810174,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Top 10 Intranet Trends of 2016,The 24 best restaurants in New York City,Shopping app Spring's redesign could be a game-changer
